municipio,total_bib
Villaralbo,1
Zamora,7
Aguaviva,1
Albalate del Arzobispo,1
Albarracín,1
Alcalá de la Selva,1
Alcañiz,3
Alcorisa,1
Aliaga,1
Alloza,1
Andorra,1
Ariño,1
Báguena,1
Beceite,1
Bronchales,1
Calaceite,1
Calamocha,1
Calanda,1
Castellote,1
Castelserás,1
Cedrillas,1
Cella,1
Cretas,1
Escucha,1
Gea de Albarracín,1
Híjar,1
La Codoñera,1
La Puebla de Híjar,1
Manzanera,1
Mas de las Matas,1
Monreal del Campo,1
Monroyo,1
Montalbán,1
Mora de Rubielos,1
Mosqueruela,1
Muniesa,1
Ojos Negros,1
Orihuela del Tremedal,1
Peñarroya de Tastavins,1
Rubielos de Mora,1
Samper de Calanda,1
Santa Eulalia,1
Sarrión,1
Teruel,1
Torre del Compte,1
Torrijo del Campo,1
Urrea de Gaén,1
Utrillas,1
Valdealgorfa,1
Valdeltormo,1
Valderrobres,1
Valjunquera,1
Villarquemado,1
Ajofrín,1
Alameda de la Sagra,1
Alcabón,1
Alcaudete de la Jara,1
Almorox,1
Añover de Tajo,1
Arcicóllar,1
Argés,1
Bargas,1
Belvís de la Jara,1
Borox,1
Buenaventura,1
Burguillos de Toledo,1
Burujón,1
Cabañas de la Sagra,1
Cabezamesada,1
Calera y Chozas,2
Calzada de Oropesa,1
Camarena,1
Camarenilla,1
Camuñas,1
Carmena,1
Carranque,1
Casarrubios del Monte,2
Castillo de Bayuela,1
Cebolla,1
Cedillo del Condado,1
Cervera de los Montes,1
Chozas de Canales,1
Ciruelos,1
Cobeja,1
Cobisa,1
Consuegra,1
Corral de Almaguer,1
Cuerva,1
Dosbarrios,1
El Carpio de Tajo,1
El Real de San Vicente,1
El Toboso,1
El Viso de San Juan,1
Erustes,1
Escalona,1
Escalonilla,1
Esquivias,1
Fuensalida,1
Gálvez,1
Gerindote,1
Guadamur,1
Hinojosa de San Vicente,1
Huecas,1
Huerta de Valdecarábanos,1
Illescas,1
La Guardia,1
La Mata,1
La Puebla de Almoradiel,1
La Puebla de Montalbán,1
La Pueblanueva,1
La Torre de Esteban Hambrán,1
La Villa de Don Fadrique,1
Lagartera,1
Lillo,1
Lominchar,1
Los Cerralbos,1
Los Navalmorales,1
Los Navalucillos,1
Los Yébenes,1
Lucillos,1
Madridejos,1
Magán,1
Malpica de Tajo,1
Maqueda,1
Mascaraque,1
Mazarambroz,1
Mejorada,1
Menasalbas,1
Méntrida,1
Miguel Esteban,1
Mocejón,1
Montearagón,1
Mora,1
Nambroca,1
Navahermosa,1
Navalcán,1
Noblejas,1
Noez,1
Novés,1
Numancia de la Sagra,1
Ocaña,1
Olías del Rey,1
Ontígola,1
Orgaz,1
Oropesa,1
Palomeque,1
Pantoja,1
Pepino,1
Polán,1
Portillo de Toledo,1
Pulgar,1
Quero,1
Quintanar de la Orden,1
Recas,1
Rielves,1
San Martín de Montalbán,1
San Pablo de los Montes,1
San Román de los Montes,1
Santa Cruz de la Zarza,1
Santa Cruz del Retamar,1
Santa Olalla,1
Segurilla,1
Seseña,2
Sonseca,1
Talavera de la Reina,5
Tembleque,1
Toledo,7
Torrijos,1
Totanés,1
Ugena,1
Urda,1
Valmojado,1
Velada,1
Villacañas,1
Villafranca de los Caballeros,1
Villaluenga de la Sagra,1
Villamiel de Toledo,1
Villaminaya,1
Villanueva de Alcardete,1
Villanueva de Bogas,1
Villarrubia de Santiago,1
Villaseca de la Sagra,1
Villasequilla,1
Villatobas,1
Yeles,1
Yepes,1
Yuncler,1
Yunclillos,1
Yuncos,1
