población,distanica_km,cuidad_mas_cercana
mengibar,38.93647043661378,Linares
montizon,39.640962371281226,Linares
navas_de_san_juan,14.9728437232498,Linares
noalejo,17.953216347796673,Jaén
orcera,68.75901962454155,Linares
peal_de_becerro,27.91276497477289,Linares
pegalajar,34.79465259181973,Jaén
porcuna,45.47297648341018,Córdoba
pozo_alcon,54.521580009897185,Jaén
puente_de_genave,59.95585257135546,Linares
puerta_de_segura_,64.71247954049245,Linares
quesada,36.36136564839168,Linares
rus,7.308235574353784,Linares
sabiote,6.508369545558928,Linares
santa_elena,27.92219438106589,Ciudad_Real
santiago_pontones,72.80614737960724,Linares
santiago_de_calatrava,36.2978889975152,Córdoba
santisteban_del_puerto,25.792505736812334,Linares
santo_tome,24.621500131102465,Linares
segura_de_la_sierra,68.96767511027852,Linares
siles,78.71755892865616,Linares
sorihuela_del_guadalimar,34.802077695586014,Linares
torre_del_campo,51.433461047035216,Jaén
torreblascopedro,23.770085022308198,Linares
torredonjimeno,52.047850584272155,Córdoba
torreperogil,8.576516636883914,Linares
torres,32.534181036520074,Linares
torres_de_albanchez,72.98284663858746,Linares
ubeda,5.860897211887393,Linares
valdepenas_de_jaen,34.081153352309926,Jaén
vilches,19.588142609844283,Linares
villacarrillo,26.364316802460426,Linares
villanueva_de_la_reina,47.66174908909211,Linares
villanueva_del_arzobispo,34.580365935626745,Linares
villardompardo,53.748095140542745,Córdoba
villares_,39.935727459152375,Jaén
villarrodrigo,80.3026618877107,Ciudad_Real
villatorres,30.927037153364505,Linares
alameda,39.50375541552364,Córdoba
alcaucin,48.460328072308165,Vélez-Málaga
alfarnate,51.87069801251446,Benalmádena
alfarnatejo,49.82526116800525,Benalmádena
algarrobo,33.622742421209296,Vélez-Málaga
algatocin,39.60769675657256,Estepona
alhaurin_de_la_torre,7.754173659208106,Benalmádena
alhaurin_el_grande,6.540119675977223,Mijas
almachar,39.076227117029006,Benalmádena
almargen,40.69881054079781,Utrera
almogia,25.193509350948755,Benalmádena
alora,25.468704365909964,Mijas
alozaina,23.972774693849864,Mijas
alpandeire,43.787352640499,Estepona
antequera,46.65187046562189,Benalmádena
archez,41.2118276815155,Vélez-Málaga
archidona,48.95262851390268,Córdoba
ardales,35.99018407012139,Mijas
arenas,38.34391292414978,Vélez-Málaga
arriate,44.7499387028321,Utrera
atajate,45.546440985667495,Estepona
benadalid,42.68979674030415,Estepona
benahavis,30.777841369011536,Estepona
benalauria,41.21795307763156,Estepona
benalmadena,0.6098841313542144,Benalmádena
benamargosa,42.23102741570743,Vélez-Málaga
benamocarra,37.05094073612741,Vélez-Málaga
benaojan,47.24791831218418,Utrera
benarraba,37.494575260402655,Estepona
borge_,38.236181259648994,Benalmádena
burgo_,34.54124212842269,Mijas
campillos,53.324857173465155,Mijas
canete_la_real,42.517182220056526,Utrera
canillas_de_aceituno,44.96663008654949,Vélez-Málaga
canillas_de_albaida,42.19932034555089,Vélez-Málaga
carratraca,32.18010079480223,Mijas
cartajima,44.350693627223855,Estepona
cartama,12.408529229557226,Mijas
casabermeja,35.037989820550564,Benalmádena
casarabonela,27.37990410894411,Mijas
casares,27.06923479128221,Estepona
coin,12.571467509500403,Mijas
colmenar,39.860895238101286,Benalmádena
comares,39.92837419358796,Benalmádena
competa,40.929238063044316,Vélez-Málaga
cortes_de_la_frontera,46.65702568315003,Estepona
cuevas_bajas,32.762052622936594,Córdoba
cuevas_de_san_marcos,29.379433364893913,Córdoba
cuevas_del_becerro,45.05354088219764,Utrera
cutar,39.85289853888413,Benalmádena
estepona,20.05241197180731,Estepona
farajan,41.68761282840236,Estepona
frigiliana,38.35139386812199,Vélez-Málaga
fuengirola,6.926413732621131,Mijas
fuente_de_piedra,49.61186732737996,Córdoba
gaucin,36.1344561744561,Estepona
genalguacil,35.24117521644101,Estepona
guaro,18.36637549423694,Mijas
humilladero,50.600314039103615,Córdoba
igualeja,42.40364428695207,Estepona
istan,27.703001146341716,Mijas
iznate,36.07681933787428,Vélez-Málaga
jimera_de_libar,47.633805853217524,Estepona
jubrique,36.71559900680668,Estepona
juzcar,42.34002024766458,Estepona
macharaviaya,35.66559789115561,Vélez-Málaga
malaga,18.873558556189238,Benalmádena
manilva,20.087705327616252,Estepona
marbella,24.183636053865328,Mijas
mijas,0.5234196101976977,Mijas
moclinejo,34.01610270931824,Benalmádena
mollina,47.92483822135945,Córdoba
monda,17.390575947816085,Mijas
montejaque,45.78765065215297,Utrera
nerja,34.2843643174098,Vélez-Málaga
ojen,19.74147506759513,Mijas
parauta,44.137782386219456,Mijas
periana,49.853052793149175,Benalmádena
pizarra,19.5436210687531,Mijas
pujerra,40.69201771355152,Estepona
rincon_de_la_victoria,29.258060327965712,Benalmádena
riogordo,42.8195912915096,Benalmádena
ronda,48.55229690595187,Utrera
salares,42.879949508148094,Vélez-Málaga
sayalonga,36.640438056436636,Vélez-Málaga
sedella,43.72718582364765,Vélez-Málaga
sierra_de_yeguas,52.46689859019534,Utrera
teba,49.42328997521891,Mijas
tolox,25.51592039848636,Mijas
torremolinos,6.680702416450615,Benalmádena
torrox,33.24141240806169,Vélez-Málaga
totalan,30.509712711837224,Benalmádena
valle_de_abdalajis,37.049744426804345,Mijas
velez_malaga,34.6267391880301,Vélez-Málaga
villanueva_de_algaidas,38.26943942545524,Córdoba
villanueva_de_tapia,40.65663232647211,Córdoba
villanueva_del_rosario,47.72764221291739,Benalmádena
villanueva_del_trabuco,51.907516471006495,Benalmádena
vinuela,44.44444894881076,Vélez-Málaga
yunquera,29.025849543258648,Mijas
aguadulce,44.48507276709734,Utrera
alanis,70.99501344967167,Mataró
albaida_del_aljarafe,46.482118571497146,Huelva
alcala_de_guadaira,25.507093966493894,Sevilla
alcala_del_rio,46.96582416610843,Sevilla
alcolea_del_rio,43.329270761265796,Sevilla
algaba_,45.48127186680738,Sevilla
algamitas,29.492782046224704,Utrera
almaden_de_la_plata,75.98263448195924,Mataró
almensilla,43.653472803398074,Huelva
arahal,5.641873149322339,Sevilla
aznalcazar,32.73905975769841,Huelva
aznalcollar,48.38339275922567,Huelva
badolatosa,30.446544402330453,Córdoba
benacazon,39.26411693329789,Huelva
bollullos_de_la_mitacion,43.118379923321335,Huelva
bormujos,45.353650602213506,Sevilla
brenes,43.55678310764839,Sevilla
burguillos,51.86617847761281,Sevilla
cabezas_de_san_juan_,40.54087360808168,Cuenca
camas,43.54719621109503,Sevilla
campana_,40.449790416358574,Sevilla
canada_rosal,51.22581706069104,Alcalá_de_Guadaíra
cantillana,46.98984826485471,Sevilla
carmona,27.204959707388525,Sevilla
carrion_de_los_cespedes,31.511583131675504,Huelva
casariche,36.661107873021656,Córdoba
castilblanco_de_los_arroyos,60.73396287055275,Sevilla
castilleja_de_guzman,45.873017174395116,Sevilla
castilleja_de_la_cuesta,44.410027455976284,Sevilla
