,postal_code,cities_es,cities,province_es,province,ccaa_es,ccaa,cities_es/province_es,cities_es/province,cities_es/ccaa_es,cities_es/ccaa,cities/province_es,province_es/ccaa_es,province_es/ccaa,province/ccaa_es,province/ccaa
76,01510,arratzua-ubarrundia,arratzua-ubarrundia,alava,araba,pais vasco,pais vasco,arratzua-ubarrundia/alava,arratzua-ubarrundia/araba,arratzua-ubarrundia/pais vasco,arratzua-ubarrundia/pais vasco,arratzua-ubarrundia/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
77,01520,arratzua-ubarrundia,arratzua-ubarrundia,alava,araba,pais vasco,pais vasco,arratzua-ubarrundia/alava,arratzua-ubarrundia/araba,arratzua-ubarrundia/pais vasco,arratzua-ubarrundia/pais vasco,arratzua-ubarrundia/alava,alava/pais vasco,alava/pais vasco,araba/pais vasco,araba/pais vasco
78,02001,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
79,02002,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
80,02003,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
81,02004,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
82,02005,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
83,02006,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
84,02007,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
85,02008,albacete,albacete,albacete,albacete,castilla la mancha,castilla la mancha,albacete/albacete,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/albacete,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha,albacete/castilla la mancha
