M190_1,M190_2,M190_3,M190_4,M190_5,M190_6,M190_7,M190_8,M190_9,M190_10,M190_11,M190_12,M190_13,M190_14,M190_15,M190_16,M190_17,M190_18,M190_19,M190_20,M190_21,CCAA,PROV,SECTOR,SEXO,EJER,MODELO
5558,52396428.210000,4432.079870,47376587.120000,3649.681120,5019841.090000,782.398750,111268.650000,17.000000,4287711.710000,581.604270,21030688.800000,1796.305110,16448179.970000,1217.949420,7753563.010000,583.432820,2482075.700000,215.014800,282940.370000,20.773450,1,4,4,2,2009,190
4693,44715911.330000,3720.502820,40357235.670000,3060.377550,4358675.660000,660.125270,23109.890000,10.590370,2921861.510000,417.179950,17269712.850000,1469.731580,14358837.930000,1067.229610,7441355.200000,539.950950,2371029.600000,196.575630,330004.350000,19.244730,1,4,4,2,2010,190
4419,40951898.600000,3410.747730,37181006.810000,2819.594310,3770891.790000,591.153420,27145.910000,9.470940,2287522.630000,360.103920,14037069.590000,1229.941690,13896550.100000,1046.426150,7855922.440000,541.740580,2510013.980000,200.992560,337673.950000,22.071890,1,4,4,2,2011,190
4049,35685221.310000,3163.614330,31665347.900000,2581.514530,4019873.410000,582.099800,39104.770000,6.566050,1586879.940000,279.949650,11493745.580000,1109.330410,12794130.440000,1037.635600,7044827.980000,514.146450,2445871.360000,199.017040,280661.240000,16.969130,1,4,4,2,2012,190
3840,34033494.160000,3002.938770,30290316.770000,2474.364780,3743177.390000,528.573990,50713.680000,11.367400,1565622.630000,273.060990,9932331.820000,993.900460,12572294.090000,994.756220,7112347.170000,498.765820,2462272.590000,210.607050,337912.180000,20.480830,1,4,4,2,2013,190
3855,33095780.900000,2940.749150,29262982.850000,2409.856550,3832798.050000,530.892600,36023.430000,9.458500,1420245.440000,278.775540,9276589.670000,927.475490,12440992.390000,990.223170,6880915.240000,503.726480,2692681.660000,207.520030,348333.070000,23.569940,1,4,4,2,2014,190
3744,33624706.190000,2826.169980,29995769.290000,2335.241240,3628936.900000,490.928740,54793.530000,8.249900,1386860.340000,259.256990,8747674.210000,831.586350,12804724.390000,986.206460,7493707.140000,522.355690,2722871.350000,193.909460,414075.230000,24.605130,1,4,4,2,2015,190
3860,34251871.350000,2859.663070,30630234.110000,2381.945380,3621637.240000,477.717690,26268.180000,6.768150,1341107.820000,278.356080,8257285.640000,779.017560,13236453.670000,1002.136010,8189373.250000,570.567270,2783613.880000,194.463530,417768.910000,28.354470,1,4,4,2,2016,190
50445,570114278.830000,40228.887810,478378051.220000,29809.985040,91736227.610000,10418.902770,1081582.610000,198.966370,49333166.060000,5923.102960,172094870.590000,13616.396100,179352429.730000,11273.981740,119170429.350000,6478.680260,47279606.610000,2621.106170,1802193.880000,116.654210,1,4,5,1,2009,190
49633,563330173.490000,39580.836830,473062045.260000,29414.468610,90268128.230000,10166.368220,687456.460000,126.311370,43838148.550000,5435.960100,164569832.680000,13128.202800,182035152.280000,11446.837230,121874166.010000,6659.813690,48736209.700000,2685.463530,1589207.810000,98.248110,1,4,5,1,2010,190
50721,569560637.620000,39565.869670,481227541.540000,29739.061090,88333096.080000,9826.808580,567347.000000,99.242830,39493145.800000,4939.905210,159930024.800000,12907.723950,188699126.580000,11837.222320,127378381.540000,6906.120460,51853747.620000,2774.276250,1638864.280000,101.378650,1,4,5,1,2011,190
48740,552053599.450000,38855.221430,472549823.160000,29979.949530,79503776.290000,8875.271900,400672.890000,89.878740,34293779.640000,4466.606770,147458466.090000,12235.324900,187141555.110000,12069.916970,128628430.850000,7065.696860,52306416.970000,2823.339100,1824277.900000,104.458090,1,4,5,1,2012,190
49378,552776038.120000,38749.251480,476932427.340000,30440.926200,75843610.780000,8308.325280,390541.770000,82.970880,30726985.180000,4121.206490,140214117.460000,11695.171280,189877622.780000,12348.391500,134906999.460000,7445.804050,54616189.080000,2945.968340,2043582.390000,109.738940,1,4,5,1,2013,190
51292,566971017.780000,39833.043530,490377439.090000,31357.986880,76593578.690000,8475.056650,370616.150000,94.420210,29622788.190000,4153.257950,138377088.400000,11564.487210,197259261.850000,12880.720850,140363226.040000,7869.821400,58630508.730000,3142.832530,2347528.420000,127.503380,1,4,5,1,2014,190
55503,599832831.640000,41529.499800,515828929.710000,32634.118080,84003901.930000,8895.381720,440606.650000,119.788850,31456807.990000,4368.179830,140375990.800000,11476.646500,208167693.750000,13525.611770,151959549.540000,8443.925010,64557953.750000,3444.105430,2874229.160000,151.242410,1,4,5,1,2015,190
59118,639501672.010000,43543.048830,548146050.090000,34119.764020,91355621.920000,9423.284810,318699.280000,118.598790,33029539.590000,4484.740320,144603959.130000,11689.627780,220505496.370000,14081.071820,165112983.260000,9141.776900,72594458.520000,3852.012220,3336535.860000,175.221000,1,4,5,1,2016,190
49095,354024402.640000,38512.144960,297103070.250000,30191.520810,56921332.390000,8320.624150,763532.470000,192.023700,49763607.890000,7343.899830,133614336.470000,13989.664830,101908717.320000,10030.741090,52476235.790000,5370.187660,15158625.490000,1541.609350,339347.210000,44.018500,1,4,5,2,2009,190
47493,342927882.300000,37625.634820,289348258.020000,29299.080620,53579624.280000,8326.554200,479672.910000,117.290420,43519570.520000,6852.005210,127993871.920000,13491.319800,101289359.260000,10030.259740,53236054.560000,5442.390410,16082092.940000,1650.193860,327260.190000,42.175380,1,4,5,2,2010,190
47582,354699124.530000,37533.953430,300745669.520000,29585.608140,53953455.010000,7948.345290,490457.610000,112.546500,40100919.700000,6226.835260,128162741.400000,13399.420640,108250141.460000,10287.994740,59237301.870000,5734.097200,18050097.250000,1725.268910,407465.240000,47.790180,1,4,5,2,2011,190
47157,349434983.070000,37415.907300,298015231.180000,30104.767090,51419751.890000,7311.140210,456654.810000,96.163110,34788346.070000,5628.435970,122099469.940000,12985.067250,112431318.470000,10781.272340,60595290.760000,6007.657960,18562874.950000,1863.012540,501028.070000,54.298130,1,4,5,2,2012,190
47399,356248443.920000,37230.673030,307353731.090000,30520.771280,48894712.830000,6709.901750,454211.480000,84.909110,31523966.940000,5152.433710,117710810.480000,12580.492980,119140041.590000,11054.866840,65952721.300000,6279.884790,20977841.760000,2023.736860,488850.370000,54.348740,1,4,5,2,2013,190
49149,366702740.200000,38106.208740,317890807.630000,31273.193520,48811932.570000,6833.015220,351654.910000,76.675360,30008356.410000,5006.305110,116805346.800000,12517.172570,125480956.170000,11589.690540,71010362.580000,6661.129990,22265774.270000,2192.064520,780289.060000,63.170650,1,4,5,2,2014,190
53599,394150209.350000,40072.818740,338920048.830000,32617.470170,55230160.520000,7455.348570,405923.990000,96.305230,32213050.680000,5293.479320,118690220.700000,12555.167350,137475386.570000,12451.760340,78470584.040000,7165.939400,26034711.080000,2429.926850,860332.290000,80.240250,1,4,5,2,2015,190
56398,414712101.060000,41772.355860,352236227.530000,33568.218670,62475873.530000,8204.137190,299345.540000,105.366100,32892981.520000,5413.135650,119039290.060000,12594.481500,146220020.550000,13106.220370,86789374.400000,7785.979090,28621724.450000,2675.089820,849364.540000,92.083330,1,4,5,2,2016,190
3904,59063374.950000,2536.871930,57514132.160000,2388.852210,1549242.790000,148.019720,34684.430000,6.361580,2217409.810000,253.894410,14779361.870000,792.769880,19628163.390000,715.560180,13991969.990000,426.298180,8384533.940000,292.776260,27251.520000,49.211440,1,4,6,1,2009,190
2691,56370952.250000,2320.208670,55505874.110000,2235.019560,865078.140000,85.189110,44420.700000,2.870540,1790147.730000,203.799550,13452986.430000,739.926080,18491399.620000,652.206140,14424009.250000,435.334880,8140175.490000,276.071480,27813.030000,10.000000,1,4,6,1,2010,190
4098,59612406.800000,2652.175650,58305743.370000,2481.633890,1306663.430000,170.541760,27461.120000,2.480000,1446607.820000,237.917880,13446167.100000,802.633890,19569335.610000,768.075520,16364454.990000,516.775850,8617143.310000,304.495300,141236.850000,19.797210,1,4,6,1,2011,190
