,municipio_limpio,provincia,superficie_urbana,uds_almacen,uds_comercial,uds_cultural,uds_hosteleria,uds_industrial,uds_deportivo,uds_oficinas,uds_religioso,uds_espectaculos
253,benizalon,almeria,"50,324",52,1,1,0,2,1,1,1,0
254,bentarique,almeria,"32,702",16,2,1,2,9,0,1,2,0
255,berja,almeria,"2,343,087","1,429",242,14,7,416,28,20,7,3
256,canjayar,almeria,"287,690",84,12,3,3,156,1,0,3,0
257,cantoria,almeria,"1,638,761",145,33,9,4,179,14,9,4,1
258,carboneras,almeria,"2,589,961","1,761",210,5,48,415,6,25,4,0
259,castro_de_filabres,almeria,"33,585",4,0,0,3,40,0,0,1,0
260,cobdar,almeria,"54,725",2,0,0,0,31,2,0,1,0
261,cuevas_del_almanzora,almeria,"8,023,752","3,561",227,22,57,"1,406",43,30,16,2
262,chercos,almeria,"113,324",6,1,2,2,43,1,1,2,1
263,chirivel,almeria,"798,758",93,7,6,9,231,2,2,2,0
264,dalias,almeria,"976,933",393,25,6,6,185,16,0,3,1
265,enix,almeria,"120,936",36,1,1,1,42,0,1,2,0
266,felix,almeria,"195,263",50,2,1,5,172,4,0,1,0
267,fines,almeria,"638,911",366,28,4,1,228,7,3,1,1
268,finana,almeria,"507,319",318,14,5,4,45,4,1,10,0
269,fondon,almeria,"510,011",332,9,2,7,99,14,3,6,0
270,gador,almeria,"991,385",368,60,5,3,157,28,2,2,2
271,gallardos,almeria,"1,055,113",143,20,1,6,87,8,4,1,0
272,garrucha,almeria,"2,145,624","3,457",348,5,14,24,10,78,5,0
273,gergal,almeria,"501,375",141,8,1,5,108,3,3,5,0
274,huecija,almeria,"70,975",39,1,0,1,16,1,0,2,1
275,huercal_de_almeria,almeria,"2,970,048","1,036",291,15,17,"1,201",26,94,4,1
276,huercal_overa,almeria,"6,344,272","3,530",510,17,15,573,44,49,15,1
277,illar,almeria,"140,001",50,1,2,0,16,6,0,2,0
278,instincion,almeria,"131,877",57,4,1,2,39,1,1,2,1
279,laroya,almeria,"44,726",4,0,2,5,34,3,0,1,0
280,laujar_de_andarax,almeria,"384,277",70,24,5,2,78,6,4,3,1
281,lijar,almeria,"92,558",42,4,1,1,30,0,0,1,0
282,lubrin,almeria,"646,417",160,13,8,3,76,4,1,4,0
283,lucainena_de_las_torres,almeria,"147,310",25,1,1,1,54,3,1,2,0
284,lucar,almeria,"377,796",31,1,2,2,99,6,1,1,0
285,macael,almeria,"1,304,614","1,106",113,7,5,376,6,42,2,1
286,maria,almeria,"456,638",67,7,3,8,134,8,2,5,0
287,mojacar,almeria,"5,497,782","3,341",558,3,39,161,38,14,3,0
288,nacimiento,almeria,"90,211",11,1,0,0,12,1,3,0,0
289,nijar,almeria,"6,267,033","2,479",613,41,110,704,40,76,16,2
290,ohanes,almeria,"149,824",175,3,2,0,124,2,2,2,0
291,olula_de_castro,almeria,"45,553",63,0,0,0,3,0,0,1,0
292,olula_del_rio,almeria,"1,180,041","1,361",239,7,8,306,7,16,3,1
293,oria,almeria,"669,033",70,9,7,3,344,7,3,7,0
294,padules,almeria,"127,062",5,5,2,1,49,0,0,1,0
295,partaloa,almeria,"307,662",12,3,2,2,81,5,0,1,0
296,paterna_del_rio,almeria,"148,517",73,4,3,1,32,0,0,3,0
297,pechina,almeria,"947,473",432,35,4,5,94,7,4,1,0
298,pulpi,almeria,"9,680,145","2,749",203,13,30,217,41,50,5,0
299,purchena,almeria,"525,113",120,14,8,4,161,10,3,3,0
300,ragol,almeria,"49,236",99,2,0,1,8,3,1,1,0
301,rioja,almeria,"317,899",89,20,1,6,100,8,1,2,1
302,roquetas_de_mar,almeria,"12,657,758","33,059","3,676",42,772,590,131,336,17,6
303,santa_cruz_de_marchena,almeria,"29,265",33,0,0,0,5,0,1,1,0
304,santa_fe_de_mondujar,almeria,"101,131",3,7,4,3,101,6,3,3,0
305,senes,almeria,"51,807",47,0,1,2,0,1,0,1,0
306,seron,almeria,"769,789",71,19,3,4,213,4,3,9,0
307,sierro,almeria,"81,773",11,2,1,2,112,1,1,2,0
308,somontin,almeria,"190,602",11,2,1,0,71,4,0,4,1
309,sorbas,almeria,"676,005",80,38,12,7,258,10,4,5,2
310,sufli,almeria,"53,047",10,1,2,1,33,5,0,3,0
311,tabernas,almeria,"1,657,218",218,35,2,14,233,8,8,5,2
312,taberno,almeria,"232,012",52,10,3,7,115,17,1,3,0
313,tahal,almeria,"107,602",45,0,1,3,5,0,3,2,0
314,terque,almeria,"139,765",285,5,3,0,143,3,0,2,0
315,tijola,almeria,"742,998",220,37,7,1,257,11,5,11,0
316,turre,almeria,"9,929,334",863,72,5,7,113,20,9,5,0
317,turrillas,almeria,"25,064",33,1,0,4,2,0,0,1,0
318,uleila_del_campo,almeria,"239,540",25,7,4,3,84,2,0,1,0
319,urracal,almeria,"86,930",18,3,1,0,57,6,0,2,0
320,velefique,almeria,"94,259",146,0,1,1,8,0,0,0,0
321,velez_blanco,almeria,"396,849",253,7,3,8,27,2,5,5,1
322,velez_rubio,almeria,"1,525,037",538,98,19,9,487,30,31,13,2
323,vera,almeria,"10,399,866","7,183",711,12,24,207,62,82,8,2
324,viator,almeria,"2,435,864","1,153",101,11,13,"1,004",21,27,3,0
325,vicar,almeria,"3,602,764","4,555",406,18,12,388,22,78,6,2
326,zurgena,almeria,"1,235,668",281,35,5,6,119,10,2,3,0
327,tres_villas,almeria,"133,239",8,0,1,2,50,6,1,0,0
328,ejido,almeria,"16,872,346","17,425","1,438",56,86,"4,608",30,808,16,20
329,mojonera,almeria,"1,613,554",146,81,10,9,449,7,16,1,2
330,balanegra,almeria,"655,369",705,90,1,1,31,3,0,1,0
331,adanero,avila,"190,672",13,1,2,6,151,0,0,2,0
332,adrada,avila,"2,536,823",653,102,2,10,252,32,7,2,0
333,albornos,avila,"102,910",0,2,1,1,90,0,0,1,0
334,aldeanueva_de_santa_cruz,avila,"49,865",11,0,1,0,160,1,0,2,0
335,aldeaseca,avila,"93,761",6,2,1,0,50,0,2,2,0
336,aldehuela,avila,"135,727",21,0,2,2,265,2,0,2,0
337,amavida,avila,"80,023",11,1,0,0,340,1,2,2,0
338,arenal,avila,"441,774",270,7,1,5,13,4,0,4,1
339,arenas_de_san_pedro,avila,"2,355,636","1,149",265,17,28,589,57,38,13,1
340,arevalillo,avila,"58,445",180,0,1,0,2,0,0,1,0
341,arevalo,avila,"3,105,096","2,188",429,13,13,785,9,57,10,0
342,aveinte,avila,"59,026",1,0,1,0,98,1,1,1,0
343,avellaneda,avila,"31,051",2,0,0,1,128,0,0,2,0
344,avila,avila,"12,724,365","25,392","2,296",76,91,812,45,427,47,8
345,barco_de_avila,avila,"977,386",632,119,8,15,297,9,19,3,2
346,barraco,avila,"853,403",359,79,3,51,594,34,2,6,2
347,barroman,avila,"112,561",70,0,1,2,6,1,0,1,0
348,becedas,avila,"311,759",361,2,3,2,12,0,2,2,0
349,becedillas,avila,"67,732",1,0,0,0,245,2,0,2,0
350,bercial_de_zapardiel,avila,"101,825",7,0,1,1,93,1,0,1,0
351,berlanas,avila,"327,158",18,1,2,0,125,1,1,2,0
352,bernuy_zapardiel,avila,"87,459",6,0,1,0,52,1,0,1,0
353,berrocalejo_de_aragona,avila,"96,819",9,0,0,4,58,0,0,1,0
354,blascomillan,avila,"126,216",7,2,0,0,161,1,0,3,0
355,blasconuno_de_matacabras,avila,"30,433",0,0,0,0,18,0,0,1,0
356,blascosancho,avila,"196,852",63,1,0,1,15,3,0,1,0
357,bohodon,avila,"76,841",7,0,0,0,66,2,0,1,0
358,bohoyo,avila,"386,975",572,2,2,3,31,0,0,5,0
359,bonilla_de_la_sierra,avila,"122,968",6,1,2,4,287,4,0,3,0
360,brabos,avila,"41,305",9,0,3,0,108,0,0,2,0
361,bularros,avila,"103,265",181,0,0,0,18,0,0,3,0
362,burgohondo,avila,"712,779",486,18,1,5,44,4,2,2,0
363,cabezas_de_alambre,avila,"95,365",2,1,1,0,69,2,0,2,0
364,cabezas_del_pozo,avila,"90,817",4,0,1,1,41,1,0,1,0
365,cabezas_del_villar,avila,"334,647",5,0,2,1,300,2,1,1,1
366,cabizuela,avila,"50,100",1,1,1,0,49,1,0,1,0
367,canales,avila,"24,304",3,0,0,0,13,1,0,1,0
368,candeleda,avila,"1,848,111","1,307",177,5,40,635,42,25,6,3
369,cantiveros,avila,"76,337",1,1,1,0,52,0,0,3,0
370,cardenosa,avila,"472,622",19,1,1,2,124,2,0,2,0
371,carrera,avila,"181,348",255,1,1,1,7,0,0,1,0
372,casas_del_puerto,avila,"64,861",3,0,1,0,122,0,0,1,0
