,cp,municipio,provincia,ccaa
5659,28008,madrid,madrid,comunidad_de_madrid
5660,28009,madrid,madrid,comunidad_de_madrid
5661,28010,madrid,madrid,comunidad_de_madrid
5662,28011,madrid,madrid,comunidad_de_madrid
5663,28012,madrid,madrid,comunidad_de_madrid
5664,28013,madrid,madrid,comunidad_de_madrid
5665,28014,madrid,madrid,comunidad_de_madrid
5666,28015,madrid,madrid,comunidad_de_madrid
5667,28016,madrid,madrid,comunidad_de_madrid
5668,28017,madrid,madrid,comunidad_de_madrid
5669,28018,madrid,madrid,comunidad_de_madrid
5670,28019,madrid,madrid,comunidad_de_madrid
5671,28020,madrid,madrid,comunidad_de_madrid
5672,28021,madrid,madrid,comunidad_de_madrid
5673,28022,madrid,madrid,comunidad_de_madrid
5674,28023,madrid,madrid,comunidad_de_madrid
5675,28024,madrid,madrid,comunidad_de_madrid
5676,28025,madrid,madrid,comunidad_de_madrid
5677,28026,madrid,madrid,comunidad_de_madrid
5678,28027,madrid,madrid,comunidad_de_madrid
5679,28028,madrid,madrid,comunidad_de_madrid
5680,28029,madrid,madrid,comunidad_de_madrid
5681,28030,madrid,madrid,comunidad_de_madrid
5682,28031,madrid,madrid,comunidad_de_madrid
5683,28032,madrid,madrid,comunidad_de_madrid
5684,28033,madrid,madrid,comunidad_de_madrid
5685,28034,madrid,madrid,comunidad_de_madrid
5686,28035,madrid,madrid,comunidad_de_madrid
5687,28036,madrid,madrid,comunidad_de_madrid
5688,28037,madrid,madrid,comunidad_de_madrid
5689,28038,madrid,madrid,comunidad_de_madrid
5690,28039,madrid,madrid,comunidad_de_madrid
5691,28040,madrid,madrid,comunidad_de_madrid
5692,28041,madrid,madrid,comunidad_de_madrid
5693,28042,madrid,madrid,comunidad_de_madrid
5694,28043,madrid,madrid,comunidad_de_madrid
5695,28044,madrid,madrid,comunidad_de_madrid
5696,28045,madrid,madrid,comunidad_de_madrid
5697,28046,madrid,madrid,comunidad_de_madrid
5698,28047,madrid,madrid,comunidad_de_madrid
5699,28048,madrid,madrid,comunidad_de_madrid
5700,28049,madrid,madrid,comunidad_de_madrid
5701,28050,madrid,madrid,comunidad_de_madrid
5702,28051,madrid,madrid,comunidad_de_madrid
5703,28052,madrid,madrid,comunidad_de_madrid
5704,28053,madrid,madrid,comunidad_de_madrid
5705,28054,madrid,madrid,comunidad_de_madrid
5706,28055,madrid,madrid,comunidad_de_madrid
5707,28100,alcobendas_y_la_moraleja,madrid,comunidad_de_madrid
5708,28108,alcobendas_y_la_moraleja,madrid,comunidad_de_madrid
5709,28109,alcobendas_y_la_moraleja,madrid,comunidad_de_madrid
5710,28109,alcobendas,madrid,comunidad_de_madrid
5711,28110,algete,madrid,comunidad_de_madrid
5712,28119,,madrid,comunidad_de_madrid
5713,28120,algete,madrid,comunidad_de_madrid
5714,28130,valdeolmos_alalpardo,madrid,comunidad_de_madrid
5715,28140,fuente_el_saz_de_jarama,madrid,comunidad_de_madrid
5716,28150,valdetorres_de_jarama,madrid,comunidad_de_madrid
5717,28160,talamanca_de_jarama,madrid,comunidad_de_madrid
5718,28170,valdepielagos,madrid,comunidad_de_madrid
5719,28180,torrelaguna,madrid,comunidad_de_madrid
5720,28189,el_atazar,madrid,comunidad_de_madrid
5721,28190,el_cardoso_de_la_sierra,madrid,comunidad_de_madrid
5722,28191,la_hiruela,madrid,comunidad_de_madrid
5723,28192,el_berrueco,madrid,comunidad_de_madrid
5724,28193,cervera_de_buitrago,madrid,comunidad_de_madrid
5725,28194,berzosa_del_lozoya,madrid,comunidad_de_madrid
5726,28195,puentes_viejas,madrid,comunidad_de_madrid
5727,28196,puentes_viejas,madrid,comunidad_de_madrid
5728,28200,san_lorenzo_de_el_escorial,madrid,comunidad_de_madrid
5729,28209,,madrid,comunidad_de_madrid
5730,28210,navalagamella,madrid,comunidad_de_madrid
5731,28211,el_escorial,madrid,comunidad_de_madrid
5732,28212,el_escorial,madrid,comunidad_de_madrid
5733,28213,colmenar_del_arroyo,madrid,comunidad_de_madrid
5734,28214,fresnedillas_de_la_oliva,madrid,comunidad_de_madrid
5735,28219,el_escorial,madrid,comunidad_de_madrid
5736,28220,majadahonda,madrid,comunidad_de_madrid
5737,28221,majadahonda,madrid,comunidad_de_madrid
5738,28222,majadahonda,madrid,comunidad_de_madrid
5739,28223,pozuelo_de_alarcon,madrid,comunidad_de_madrid
5740,28224,pozuelo_de_alarcon,madrid,comunidad_de_madrid
5741,28229,villanueva_del_pardillo,madrid,comunidad_de_madrid
5742,28230,las_rozas,madrid,comunidad_de_madrid
5743,28231,las_rozas,madrid,comunidad_de_madrid
5744,28232,las_rozas,madrid,comunidad_de_madrid
5745,28240,hoyo_de_manzanares,madrid,comunidad_de_madrid
5746,28248,hoyo_de_manzanares,madrid,comunidad_de_madrid
5747,28250,torrelodones,madrid,comunidad_de_madrid
5748,28260,galapagar,madrid,comunidad_de_madrid
5749,28270,colmenarejo,madrid,comunidad_de_madrid
5750,28279,colmenarejo,madrid,comunidad_de_madrid
5751,28280,el_escorial,madrid,comunidad_de_madrid
5752,28290,las_rozas,madrid,comunidad_de_madrid
5753,28292,el_escorial,madrid,comunidad_de_madrid
5754,28293,zarzalejo,madrid,comunidad_de_madrid
5755,28294,robledo_de_chavela,madrid,comunidad_de_madrid
5756,28295,valdemaqueda,madrid,comunidad_de_madrid
5757,28296,santa_maria_de_la_alameda,madrid,comunidad_de_madrid
5758,28297,santa_maria_de_la_alameda,madrid,comunidad_de_madrid
5759,28300,aranjuez,madrid,comunidad_de_madrid
5760,28310,aranjuez,madrid,comunidad_de_madrid
5761,28311,aranjuez,madrid,comunidad_de_madrid
5762,28312,aranjuez,madrid,comunidad_de_madrid
5763,28320,pinto,madrid,comunidad_de_madrid
5764,28330,san_martin_de_la_vega,madrid,comunidad_de_madrid
5765,28339,san_martin_de_la_vega,madrid,comunidad_de_madrid
5766,28340,valdemoro,madrid,comunidad_de_madrid
5767,28341,valdemoro,madrid,comunidad_de_madrid
5768,28342,valdemoro,madrid,comunidad_de_madrid
5769,28350,ciempozuelos,madrid,comunidad_de_madrid
5770,28359,titulcia,madrid,comunidad_de_madrid
5771,28360,villaconejos,madrid,comunidad_de_madrid
5772,28370,chinchon,madrid,comunidad_de_madrid
5773,28380,colmenar_de_oreja,madrid,comunidad_de_madrid
5774,28390,belmonte_de_tajo,madrid,comunidad_de_madrid
5775,28391,valdelaguna,madrid,comunidad_de_madrid
5776,28400,collado_villalba,madrid,comunidad_de_madrid
5777,28409,alpedrete,madrid,comunidad_de_madrid
5778,28410,manzanares_el_real,madrid,comunidad_de_madrid
5779,28411,moralzarzal,madrid,comunidad_de_madrid
5780,28412,el_boalo,madrid,comunidad_de_madrid
5781,28413,el_boalo,madrid,comunidad_de_madrid
5782,28419,,madrid,comunidad_de_madrid
5783,28420,galapagar,madrid,comunidad_de_madrid
5784,28430,alpedrete,madrid,comunidad_de_madrid
5785,28439,,madrid,comunidad_de_madrid
5786,28440,guadarrama,madrid,comunidad_de_madrid
5787,28450,collado_mediano,madrid,comunidad_de_madrid
5788,28459,,madrid,comunidad_de_madrid
