CÓDIGO,DESCRIPCION,LATITUD,LONGITUD,C.P.,POBLACION,PROVINCIA,PAIS,CERCANIAS,FEVE,tiempo de antelacion,Punto de Encuentro,Aparcamiento,Andén,Aseos,Vestíbulo
50702,BRENES,37.546291,-5.866773,41310.0,brenes,sevilla,espana,SI,NO,,,,,,
11305,BRINKOLA,43.018953,-2.334606,20220.0,onati,gipuzkoa,espana,SI,NO,,,,,,
11109,BRIVIESCA,42.5427537,-3.3192126,9240.0,briviesca,burgos,espana,NO,NO,12 H.,Venta de Billetes,Si,No,Si,Si
70503,BUBIERCA,41.3172399,-1.8558468999999997,50239.0,bubierca,zaragoza,espana,NO,NO,,,,,,
69005,BUFALI,38.8673771,-0.5104955,46891.0,bufali,valencia/valencia,espana,NO,NO,,,,,,
66206,BUÑOL,39.427333600000004,-0.7875466999999999,46370.0,bunol,valencia/valencia,espana,SI,NO,,,,,,
5171,BURELA,43.660607,-7.3611830000000005,27880.0,burela,lugo,espana,NO,SI,,,,,,
11014,BURGOS ROSA DE LIMA,42.3706346,-3.6661075,9006.0,burgos,burgos,espana,NO,NO,30 m.,Venta de Billetes,Si,Si,Si,Si
65207,BURRIANA-ALQUERIAS DEL NIÑO PERDIDO,39.895253000000004,-0.1056377,12530.0,borriana/burriana,castellon/castello,espana,SI,NO,,,,,,
15113,BUSDONGO,42.9844961,-5.7053997,24690.0,villamanin,leon,espana,NO,NO,,,,,,
21005,CABANAS,43.4156164,-8.168832,15621.0,cabanas,"coruna, a",espana,NO,NO,,,,,,
5385,CABAÑAQUINTA,43.160790000000006,-5.624916000000001,33686.0,aller,asturias,espana,NO,SI,,,,,,
31109,CABAÑAS DE ALISTE,41.854605799999995,-6.2463492,49592.0,riofrio de aliste,zamora,espana,NO,NO,,,,,,
81209,CABAÑAS DE EBRO,41.788107700000005,-1.1677488999999999,50638.0,cabanas de ebro,zaragoza,espana,NO,NO,,,,,,
